cell_type_key,Marker 1,Marker 2,Marker 3,Marker 4,Marker 5
HSC,HLF,MLLT3,MSI2,MEIS1,SPINK2
MPP,CD34,PROM1,FLT3,KIT,
GMP,MPO,CSF3R,SPI1,CEBPA,MS4A3
MEP,GATA2,TAL1,NFE2,TFRC,
B cell,MS4A1,CD79A,CD79B,CD74,PAX5
T cell,CD3D,CD3E,TRAC,CD2,IL7R
Early MK,ITGA2B,ITGB3,GP9,GP1BB,PF4
MK,TUBB1,PPBP,SELP,GP6,F13A1
Early Erythroid,GATA1,KLF1,TFRC,TFR2,
Classical monocyte,CD14,LYZ,S100A9,VCAN,S100A8
Non-classical monocyte,FCGR3A,CX3CR1,NR4A1,LILRB2,ITGAX
Activated monocyte,FOS,JAK2,STAT1,GBP5,DUSP1
Neutrophil,LTF,LCN2,S100A9,CSF3R,FCGR3B
pDC,CLEC4C,LILRA4,IL3RA,TCF4,GZMB
pre-cDC,CD1C,CLEC10A,AXL,SIGLEC6,FLT3
Basophil/mast progenitor,PRG2,CLC,FCER1A,HDC,
CLP,IGHM,CD74,CD3D,IL7R,
Erythroid,HBB,HBA2,ANK1,,